ASIN,Title,Price,Rating,Reviews_Count,Sales_Volume,Price_Strikethrough,Is_Sponsored,Is_Amazons_Choice,Best_Seller,URL,Page,Position,Type
B0DQKY3R84,"boAt New Launch Nirvana X TWS,Knowles Dual Drivers,Hi-Res Audio LDAC,App Support,4Mic ENx,Dual Pair,Spatial Audio,Fast Charge, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Cosmic Onyx)",2999,4.1,276,"500+ bought in past month",8990,TRUE,FALSE,FALSE,https://www.amazon.in/boAt-Nirvana-TWS-Bluetooth-Earphones/dp/B0DQKY3R84/ref=sxin_35_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151:amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&cv_ct_cx=Boat&keywords=Boat&pd_rd_i=B0DQKY3R84&pd_rd_r=0743ce5c-b562-4671-9b1b-49239d5fc021&pd_rd_w=S45sd&pd_rd_wg=uW8Hi&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=H35BFP5NX8NRWVECA63F&qid=1744974300&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,1,1,paid
B0D4Z148NG,"Tribit StormBox Mini 12W 5.4 Bluetooth Wireless Speaker,360°Surround Sound,Built-in XBass,LED Lights,12H Playtime,IPX7 Waterproof,TWS Pairing,Type-C,Portable for Home/Outdoor/Travel Black",1999,3.9,708,"500+ bought in past month",3299,TRUE,FALSE,FALSE,https://www.amazon.in/Tribit-StormBox-Bluetooth-360°Surround-Waterproof/dp/B0D4Z148NG/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d:amzn1.sym.3353ca56-2043-45f1-9c2e-99dccef31d9d&cv_ct_cx=Boat&keywords=Boat&pd_rd_i=B0D4Z148NG&pd_rd_r=95bfa18e-8645-4a7c-8e31-796dd35aad8f&pd_rd_w=ig8zi&pd_rd_wg=ZRtjp&pf_rd_p=3353ca56-2043-45f1-9c2e-99dccef31d9d&pf_rd_r=H35BFP5NX8NRWVECA63F&qid=1744974300&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55,1,2,paid
B0CFFWP1QS,"Carlington Resin Endurance Analog-Digital Sports Watch for Men and Boys - CT9105 Series One",1299,4.2,1554,"800+ bought in past month",6999,TRUE,FALSE,FALSE,https://www.amazon.in/Carlington-Analog-Digital-Chronograph-Water-Resistant-Shock-Resistant/dp/B0CFFWP1QS/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.0e800d3e-a8c4-466c-97dc-d089e27309f1:amzn1.sym.0e800d3e-a8c4-466c-97dc-d089e27309f1&cv_ct_cx=Boat&keywords=Boat&pd_rd_i=B0CFFWP1QS&pd_rd_r=b4d9fedc-ff02-42ac-89f2-12a5fa5cc1af&pd_rd_w=XebLk&pd_rd_wg=xnJuT&pf_rd_p=0e800d3e-a8c4-466c-97dc-d089e27309f1&pf_rd_r=7F7P44WRXXE4GHTJ1PMV&qid=1744974303&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-17-06195d41-65bd-48f4-8e70-03d97b6094ec,2,1,paid
B0DZXTVL6V,"boAt New Launch Airdopes Plus 311, Glass Design, Dual Mics ENx, Fast Charge, 50 Hrs Battery, Low Latency, IPX4, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)",999,4,89,,3990,FALSE,FALSE,FALSE,https://www.amazon.in/boAt-Airdopes-Plus-311-Bluetooth/dp/B0DZXTVL6V/ref=sr_1_1?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-1,1,1,organic
B0CKJ8JL1Y,"boAt Rockerz 110/Rockerz 109 Wireless Neckband with Up to 60 hrs Playtime, Dual Device Pairing, ENx Tech, Beast Mode, ASAP Charging, BTv5.3,IPX5,Type-C Interface & Magnetic Power Buds(Active Black)",751,3.4,184,"5K+ bought in past month",2490,FALSE,FALSE,FALSE,https://www.amazon.in/boAt-Launched-Rockerz-110-Interface/dp/B0CKJ8JL1Y/ref=sr_1_2?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-2,1,2,organic
B0CZ3ZPD8B,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",999,3.4,3490,"5K+ bought in past month",4990,FALSE,FALSE,FALSE,https://www.amazon.in/boAt-Airdopes-311-Pro-Low-Latency/dp/B0CZ3ZPD8B/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-3,1,3,organic
B0D5CYDG22,"boAt Airdopes Atom 81 Pro, 100Hrs Battery, 4Mics ENx Tech, 50ms Low Latency, 13mm Drivers, Fast Charge, IPX5, v5.1 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Obsidian Noir)",899,3.3,3765,"4K+ bought in past month",3990,FALSE,FALSE,FALSE,https://www.amazon.in/boAt-Airdopes-Atom-81-Pro/dp/B0D5CYDG22/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-4,1,4,organic
B0CP54XBWN,"boAt Airdopes 91, 45HRS Battery, 50ms Low Latency, ENx Tech, Fast Charge, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",999,3.4,5479,"2K+ bought in past month",4990,FALSE,FALSE,FALSE,https://www.amazon.in/boAt-Airdopes-91-Playtime-Bluetooth/dp/B0CP54XBWN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-5,1,5,organic
B08TV2P1N8,"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",1299,4,84432,"5K+ bought in past month",3990,FALSE,TRUE,FALSE,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-6,1,6,organic
B071Z8M4KX,"boAt Bassheads 100 in Ear Wired Earphones with Mic(Black)",349,4.1,417268,"5K+ bought in past month",999,FALSE,FALSE,FALSE,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0dkEhFqNwG8l_6bTUflV0-0OIlCMPv4AHgGkxEK7sAKPeJMlBGy74o7qSSswNYf0cKtEagwaKyC8Fw3N0-FxmcImlY3ssSdfrY3-FgzgPmkGwtfojrC7fb1TqDJtGbcnuIhPiZMaibuSzqxe71jsfAMab95tAo1hwN9Xqj5syGOR31fGXL6x80tTiflAB4sxyEuXyrgIMI8xmXIF4VSt3aexYASuw9jUDQQIsOKNVAU.baLcbHDmvGnbGQ0z6TnSZYjMjzjOUBh7oGyCEG2vLlM&dib_tag=se&keywords=Boat&qid=1744974300&sr=8-7,1,7,organic
